,AGE,GENDER,NATIONALITY,AFFECTED_ASPECT,STRATEGY
0,29,m,kenyan,governance structure,transparent governance framework
1,42,f,tanzanian,budget allocation,budget optimization
2,35,f,tanzanian,social connection community engagement,community engagement initiative
3,33,f,tanzanian,administrative function,workflow analysis
4,35,m,tanzanian,student enrollment,enrollment initiative
5,25,f,tanzanian,governance structure,transparent governance framework
6,42,f,tanzanian,workforce planning analysis,workforce planning
7,42,f,kenyan,running cost,financial auditing
8,24,m,kenyan,governance structure,transparent governance framework
9,30,m,kenyan,administrative function,workflow analysis
10,58,f,kenyan,physical health safety,comprehensive health safety measure
11,39,m,tanzanian,organizational culture change management,inclusive organizational culture
12,29,f,kenyan,legal regulatory compliance,compliance management framework
13,49,f,tanzanian,workforce planning analysis,workforce planning
14,49,f,tanzanian,cyber crime,security measure
15,57,f,tanzanian,legal regulatory compliance,compliance management framework
16,57,m,kenyan,budget allocation,budget optimization
17,29,m,tanzanian,student enrollment,enrollment initiative
18,43,m,tanzanian,educational program curriculum,program curriculum review update
19,53,m,tanzanian,cyber crime,security measure
20,44,m,tanzanian,mission vision value,missiondriven policy alignment
21,31,m,kenyan,facility safety,safety measure
22,50,m,tanzanian,technology infrastructure,technology integration
23,26,m,tanzanian,budget allocation,budget optimization
24,40,m,tanzanian,mental health emotional wellbeing,mental health support service
25,32,f,tanzanian,quality assurance,continuous improvement assessment
26,52,m,tanzanian,budget allocation,budget optimization
27,36,f,tanzanian,workforce planning analysis,workforce planning
28,25,f,tanzanian,physical health safety,comprehensive health safety measure
29,48,f,tanzanian,legal regulatory compliance,compliance management framework
30,40,f,kenyan,learning environment,blended learning
31,26,f,tanzanian,employee development training,professional development plan
32,31,f,tanzanian,workforce planning analysis,workforce planning
33,37,f,tanzanian,governance structure,transparent governance framework
34,30,m,kenyan,administrative function,workflow analysis
35,28,f,tanzanian,workforce planning analysis,workforce planning
36,38,f,tanzanian,tuition fee setting,financial planning
37,49,m,tanzanian,student accommodation,accommodation optimization
38,24,f,tanzanian,organizational culture change management,inclusive organizational culture
39,55,m,tanzanian,workforce planning analysis,workforce planning
40,37,m,kenyan,research experiment,research experiment standardization
41,44,m,tanzanian,budget allocation,budget optimization
42,46,f,kenyan,cyber crime,security measure
43,56,f,tanzanian,mental health emotional wellbeing,mental health support service
44,50,f,tanzanian,facility safety,safety measure
45,27,f,tanzanian,legal regulatory compliance,compliance management framework
46,52,f,kenyan,access resource,digitization
47,47,f,kenyan,employee development training,professional development plan
48,29,m,tanzanian,debt,cash flow analysis
49,52,m,tanzanian,student accommodation,accommodation optimization
50,40,m,tanzanian,administrative function,workflow analysis
51,26,f,tanzanian,student accommodation,accommodation optimization
52,47,f,kenyan,running cost,financial auditing
53,49,f,tanzanian,mental health emotional wellbeing,mental health support service
54,45,m,kenyan,debt,cash flow analysis
55,48,f,kenyan,budget allocation,budget optimization
56,31,m,kenyan,quality assurance,continuous improvement assessment
57,40,m,tanzanian,facility safety,safety measure
58,58,m,tanzanian,tuition fee setting,financial planning
59,38,f,tanzanian,recruitment,strategic recruitment
60,58,m,tanzanian,organizational culture change management,inclusive organizational culture
61,24,m,tanzanian,student enrollment,enrollment initiative
62,29,m,tanzanian,debt,cash flow analysis
63,33,m,kenyan,recruitment,strategic recruitment
64,24,f,tanzanian,social connection community engagement,community engagement initiative
65,39,f,kenyan,legal regulatory compliance,compliance management framework
66,56,f,tanzanian,learning environment,blended learning
67,51,m,tanzanian,mission vision value,missiondriven policy alignment
68,33,m,kenyan,research experiment,research experiment standardization
69,41,m,tanzanian,recruitment,strategic recruitment
70,27,m,kenyan,student enrollment,enrollment initiative
71,27,f,kenyan,technology infrastructure,technology integration
72,24,m,kenyan,technology infrastructure,technology integration
73,46,f,tanzanian,governance structure,transparent governance framework
74,26,m,kenyan,mission vision value,missiondriven policy alignment
75,50,f,tanzanian,student enrollment,enrollment initiative
76,29,f,tanzanian,budget allocation,budget optimization
77,47,f,tanzanian,legal regulatory compliance,compliance management framework
78,49,m,tanzanian,tuition fee setting,financial planning
79,28,m,tanzanian,workforce planning analysis,workforce planning
80,39,f,kenyan,administrative function,workflow analysis
81,42,m,kenyan,legal regulatory compliance,compliance management framework
82,27,f,kenyan,tuition fee setting,financial planning
83,34,f,kenyan,mission vision value,missiondriven policy alignment
84,24,f,tanzanian,quality assurance,continuous improvement assessment
85,42,f,kenyan,student enrollment,enrollment initiative
86,45,f,tanzanian,organizational culture change management,inclusive organizational culture
87,59,m,tanzanian,workforce planning analysis,workforce planning
88,33,m,tanzanian,administrative function,workflow analysis
89,24,f,kenyan,physical health safety,comprehensive health safety measure
90,38,m,tanzanian,workforce planning analysis,workforce planning
91,35,m,kenyan,quality assurance,continuous improvement assessment
92,45,f,tanzanian,learning environment,blended learning
93,48,f,tanzanian,governance structure,transparent governance framework
94,38,m,tanzanian,access resource,digitization
95,42,f,kenyan,student enrollment,enrollment initiative
96,59,f,kenyan,debt,cash flow analysis
97,59,f,kenyan,legal regulatory compliance,compliance management framework
98,33,f,tanzanian,legal regulatory compliance,compliance management framework
99,44,f,kenyan,technology infrastructure,technology integration
100,44,f,tanzanian,student enrollment,enrollment initiative
101,28,m,tanzanian,cyber crime,security measure
102,40,m,kenyan,social connection community engagement,community engagement initiative
103,53,f,tanzanian,student accommodation,accommodation optimization
104,55,m,tanzanian,educational program curriculum,program curriculum review update
105,45,m,tanzanian,social connection community engagement,community engagement initiative
106,52,f,kenyan,governance structure,transparent governance framework
107,25,f,kenyan,tuition fee setting,financial planning
108,32,m,kenyan,facility safety,safety measure
109,51,m,tanzanian,legal regulatory compliance,compliance management framework
110,58,f,tanzanian,cyber crime,security measure
111,31,f,tanzanian,tuition fee setting,financial planning
112,56,f,tanzanian,physical health safety,comprehensive health safety measure
113,48,f,kenyan,running cost,financial auditing
114,52,m,kenyan,student accommodation,accommodation optimization
115,54,m,tanzanian,budget allocation,budget optimization
116,24,f,tanzanian,workforce planning analysis,workforce planning
117,41,m,kenyan,tuition fee setting,financial planning
118,33,f,kenyan,technology infrastructure,technology integration
119,41,m,tanzanian,workforce planning analysis,workforce planning
120,40,m,tanzanian,debt,cash flow analysis
121,48,f,tanzanian,research experiment,research experiment standardization
122,47,f,tanzanian,technology infrastructure,technology integration
123,34,f,tanzanian,workforce planning analysis,workforce planning
124,48,m,tanzanian,tuition fee setting,financial planning
125,49,m,kenyan,technology infrastructure,technology integration
126,52,f,kenyan,mission vision value,missiondriven policy alignment
127,39,m,kenyan,governance structure,transparent governance framework
128,46,f,tanzanian,educational program curriculum,program curriculum review update
129,46,f,tanzanian,budget allocation,budget optimization
130,41,m,tanzanian,organizational culture change management,inclusive organizational culture
131,47,f,kenyan,educational program curriculum,program curriculum review update
132,55,f,tanzanian,legal regulatory compliance,compliance management framework
133,24,m,tanzanian,learning environment,blended learning
134,28,m,tanzanian,facility safety,safety measure
135,34,f,tanzanian,running cost,financial auditing
136,39,m,tanzanian,research experiment,research experiment standardization
137,26,f,kenyan,cyber crime,security measure
138,28,f,tanzanian,educational program curriculum,program curriculum review update
139,36,m,kenyan,access resource,digitization
140,48,f,tanzanian,learning environment,blended learning
141,48,m,kenyan,student accommodation,accommodation optimization
142,34,m,kenyan,legal regulatory compliance,compliance management framework
143,35,m,tanzanian,quality assurance,continuous improvement assessment
144,30,m,tanzanian,mission vision value,missiondriven policy alignment
145,26,f,tanzanian,mental health emotional wellbeing,mental health support service
146,58,f,kenyan,access resource,digitization
147,45,m,kenyan,student accommodation,accommodation optimization
148,37,f,kenyan,facility safety,safety measure
149,47,f,tanzanian,quality assurance,continuous improvement assessment
150,32,m,tanzanian,legal regulatory compliance,compliance management framework
151,47,f,kenyan,recruitment,strategic recruitment
152,44,f,kenyan,student accommodation,accommodation optimization
153,44,m,tanzanian,debt,cash flow analysis
154,34,m,tanzanian,cyber crime,security measure
155,42,f,kenyan,access resource,digitization
156,52,f,tanzanian,learning environment,blended learning
157,57,m,kenyan,student enrollment,enrollment initiative
158,50,f,tanzanian,mental health emotional wellbeing,mental health support service
159,38,f,kenyan,debt,cash flow analysis
160,32,f,tanzanian,administrative function,workflow analysis
161,51,f,kenyan,administrative function,workflow analysis
162,43,f,kenyan,administrative function,workflow analysis
163,27,m,kenyan,educational program curriculum,program curriculum review update
164,59,m,tanzanian,budget allocation,budget optimization
165,28,m,tanzanian,tuition fee setting,financial planning
166,56,f,tanzanian,workforce planning analysis,workforce planning
167,41,f,kenyan,running cost,financial auditing
168,25,m,kenyan,organizational culture change management,inclusive organizational culture
169,47,m,tanzanian,organizational culture change management,inclusive organizational culture
170,25,f,kenyan,budget allocation,budget optimization
171,56,m,tanzanian,mission vision value,missiondriven policy alignment
172,27,m,kenyan,mission vision value,missiondriven policy alignment
173,53,f,tanzanian,budget allocation,budget optimization
174,44,f,kenyan,administrative function,workflow analysis
175,51,f,tanzanian,learning environment,blended learning
176,39,m,tanzanian,mission vision value,missiondriven policy alignment
177,33,f,tanzanian,student accommodation,accommodation optimization
178,44,m,tanzanian,tuition fee setting,financial planning
179,29,f,tanzanian,facility safety,safety measure
180,43,f,kenyan,legal regulatory compliance,compliance management framework
181,30,f,tanzanian,social connection community engagement,community engagement initiative
182,57,f,tanzanian,access resource,digitization
183,42,f,kenyan,facility safety,safety measure
184,58,f,tanzanian,organizational culture change management,inclusive organizational culture
185,31,f,tanzanian,tuition fee setting,financial planning
186,42,m,kenyan,educational program curriculum,program curriculum review update
187,25,m,kenyan,recruitment,strategic recruitment
188,42,m,kenyan,recruitment,strategic recruitment
189,34,f,tanzanian,employee development training,professional development plan
190,49,f,tanzanian,workforce planning analysis,workforce planning
191,43,m,kenyan,employee development training,professional development plan
192,34,f,kenyan,mission vision value,missiondriven policy alignment
193,59,f,tanzanian,student accommodation,accommodation optimization
194,43,f,tanzanian,employee development training,professional development plan
195,34,m,kenyan,social connection community engagement,community engagement initiative
196,41,f,tanzanian,facility safety,safety measure
197,41,f,kenyan,quality assurance,continuous improvement assessment
198,42,f,tanzanian,student accommodation,accommodation optimization
199,52,f,tanzanian,workforce planning analysis,workforce planning
200,31,m,kenyan,governance structure,transparent governance framework
201,45,f,tanzanian,social connection community engagement,community engagement initiative
202,48,f,tanzanian,technology infrastructure,technology integration
203,47,f,tanzanian,recruitment,strategic recruitment
204,48,m,tanzanian,governance structure,transparent governance framework
205,34,m,tanzanian,mission vision value,missiondriven policy alignment
206,56,f,tanzanian,mental health emotional wellbeing,mental health support service
207,46,f,tanzanian,research experiment,research experiment standardization
208,55,m,tanzanian,recruitment,strategic recruitment
209,25,m,tanzanian,workforce planning analysis,workforce planning
210,51,m,tanzanian,workforce planning analysis,workforce planning
211,53,f,tanzanian,recruitment,strategic recruitment
212,45,m,tanzanian,research experiment,research experiment standardization
213,53,m,tanzanian,workforce planning analysis,workforce planning
214,49,f,tanzanian,learning environment,blended learning
215,41,f,kenyan,student accommodation,accommodation optimization
216,41,m,tanzanian,governance structure,transparent governance framework
217,27,f,tanzanian,student enrollment,enrollment initiative
218,25,f,tanzanian,organizational culture change management,inclusive organizational culture
219,38,f,tanzanian,cyber crime,security measure
220,33,f,tanzanian,legal regulatory compliance,compliance management framework
221,58,f,kenyan,administrative function,workflow analysis
222,42,f,tanzanian,running cost,financial auditing
223,48,f,kenyan,student enrollment,enrollment initiative
224,48,f,kenyan,running cost,financial auditing
225,56,f,kenyan,quality assurance,continuous improvement assessment
226,24,m,tanzanian,student enrollment,enrollment initiative
227,49,m,kenyan,debt,cash flow analysis
228,54,m,kenyan,cyber crime,security measure
229,38,m,tanzanian,employee development training,professional development plan
230,59,f,tanzanian,running cost,financial auditing
231,34,m,tanzanian,mental health emotional wellbeing,mental health support service
232,48,m,tanzanian,technology infrastructure,technology integration
233,59,f,kenyan,learning environment,blended learning
234,47,m,kenyan,legal regulatory compliance,compliance management framework
235,42,m,tanzanian,facility safety,safety measure
236,49,m,tanzanian,debt,cash flow analysis
237,25,f,tanzanian,workforce planning analysis,workforce planning
238,28,f,tanzanian,administrative function,workflow analysis
239,50,m,kenyan,physical health safety,comprehensive health safety measure
240,33,m,kenyan,student accommodation,accommodation optimization
241,24,f,tanzanian,mission vision value,missiondriven policy alignment
242,33,f,tanzanian,organizational culture change management,inclusive organizational culture
243,49,m,kenyan,technology infrastructure,technology integration
244,44,m,tanzanian,access resource,digitization
245,39,f,tanzanian,mental health emotional wellbeing,mental health support service
246,58,m,kenyan,governance structure,transparent governance framework
247,44,m,kenyan,organizational culture change management,inclusive organizational culture
248,43,f,tanzanian,administrative function,workflow analysis
249,47,f,tanzanian,educational program curriculum,program curriculum review update
250,44,f,tanzanian,learning environment,blended learning
251,53,f,kenyan,budget allocation,budget optimization
252,45,f,tanzanian,quality assurance,continuous improvement assessment
253,32,f,kenyan,mission vision value,missiondriven policy alignment
254,41,m,tanzanian,physical health safety,comprehensive health safety measure
255,27,f,tanzanian,student accommodation,accommodation optimization
256,59,f,tanzanian,cyber crime,security measure
257,47,f,kenyan,student enrollment,enrollment initiative
258,25,m,tanzanian,research experiment,research experiment standardization
259,46,m,kenyan,facility safety,safety measure
260,51,m,tanzanian,quality assurance,continuous improvement assessment
261,33,f,tanzanian,running cost,financial auditing
262,30,m,kenyan,quality assurance,continuous improvement assessment
263,52,m,kenyan,budget allocation,budget optimization
264,42,f,tanzanian,running cost,financial auditing
265,26,m,tanzanian,budget allocation,budget optimization
266,40,m,kenyan,organizational culture change management,inclusive organizational culture
267,30,m,tanzanian,facility safety,safety measure
268,54,f,tanzanian,administrative function,workflow analysis
269,37,f,tanzanian,student enrollment,enrollment initiative
270,30,m,tanzanian,mission vision value,missiondriven policy alignment
271,27,m,kenyan,debt,cash flow analysis
272,46,f,tanzanian,mental health emotional wellbeing,mental health support service
273,48,f,tanzanian,budget allocation,budget optimization
274,34,f,tanzanian,research experiment,research experiment standardization
275,34,f,tanzanian,research experiment,research experiment standardization
276,33,m,kenyan,social connection community engagement,community engagement initiative
277,33,m,tanzanian,learning environment,blended learning
278,41,f,kenyan,student enrollment,enrollment initiative
279,33,m,tanzanian,quality assurance,continuous improvement assessment
280,58,f,tanzanian,administrative function,workflow analysis
281,36,f,kenyan,budget allocation,budget optimization
282,49,f,kenyan,research experiment,research experiment standardization
283,36,f,kenyan,debt,cash flow analysis
284,26,m,kenyan,administrative function,workflow analysis
285,50,m,kenyan,employee development training,professional development plan
286,41,f,tanzanian,student accommodation,accommodation optimization
287,59,f,tanzanian,running cost,financial auditing
288,37,m,tanzanian,administrative function,workflow analysis
289,52,f,tanzanian,recruitment,strategic recruitment
290,52,m,kenyan,employee development training,professional development plan
291,56,m,kenyan,workforce planning analysis,workforce planning
292,45,m,tanzanian,facility safety,safety measure
293,33,m,tanzanian,educational program curriculum,program curriculum review update
294,57,m,kenyan,social connection community engagement,community engagement initiative
295,56,m,tanzanian,debt,cash flow analysis
296,27,m,tanzanian,legal regulatory compliance,compliance management framework
297,45,m,tanzanian,research experiment,research experiment standardization
298,53,f,kenyan,tuition fee setting,financial planning
299,56,f,tanzanian,technology infrastructure,technology integration
300,58,m,tanzanian,student enrollment,enrollment initiative
301,47,m,kenyan,legal regulatory compliance,compliance management framework
302,31,m,kenyan,quality assurance,continuous improvement assessment
303,47,m,kenyan,legal regulatory compliance,compliance management framework
304,42,m,tanzanian,educational program curriculum,program curriculum review update
305,54,f,tanzanian,educational program curriculum,program curriculum review update
306,57,m,tanzanian,cyber crime,security measure
307,55,f,kenyan,physical health safety,comprehensive health safety measure
308,39,f,tanzanian,administrative function,workflow analysis
309,58,f,tanzanian,physical health safety,comprehensive health safety measure
310,46,m,kenyan,student accommodation,accommodation optimization
311,25,f,kenyan,workforce planning analysis,workforce planning
312,28,f,kenyan,access resource,digitization
313,36,m,tanzanian,learning environment,blended learning
314,33,f,tanzanian,recruitment,strategic recruitment
315,25,f,tanzanian,learning environment,blended learning
316,44,m,kenyan,mission vision value,missiondriven policy alignment
317,44,m,kenyan,quality assurance,continuous improvement assessment
318,27,f,tanzanian,access resource,digitization
319,30,f,kenyan,legal regulatory compliance,compliance management framework
320,30,m,tanzanian,cyber crime,security measure
321,39,m,tanzanian,administrative function,workflow analysis
322,24,m,kenyan,quality assurance,continuous improvement assessment
323,56,f,tanzanian,debt,cash flow analysis
324,47,m,kenyan,student enrollment,enrollment initiative
325,33,m,tanzanian,access resource,digitization
326,29,f,tanzanian,recruitment,strategic recruitment
327,54,m,tanzanian,physical health safety,comprehensive health safety measure
328,40,f,kenyan,employee development training,professional development plan
329,24,f,tanzanian,tuition fee setting,financial planning
330,31,m,kenyan,legal regulatory compliance,compliance management framework
331,54,m,tanzanian,educational program curriculum,program curriculum review update
332,45,m,kenyan,research experiment,research experiment standardization
333,25,f,kenyan,legal regulatory compliance,compliance management framework
334,33,m,tanzanian,quality assurance,continuous improvement assessment
335,34,f,tanzanian,research experiment,research experiment standardization
336,53,m,tanzanian,running cost,financial auditing
337,24,f,tanzanian,cyber crime,security measure
338,30,m,kenyan,governance structure,transparent governance framework
339,56,m,kenyan,governance structure,transparent governance framework
340,57,m,tanzanian,tuition fee setting,financial planning
341,25,m,tanzanian,physical health safety,comprehensive health safety measure
342,41,m,tanzanian,facility safety,safety measure
343,26,f,tanzanian,recruitment,strategic recruitment
344,25,f,kenyan,budget allocation,budget optimization
345,43,f,tanzanian,student accommodation,accommodation optimization
346,42,m,kenyan,organizational culture change management,inclusive organizational culture
347,52,m,tanzanian,tuition fee setting,financial planning
348,59,m,kenyan,workforce planning analysis,workforce planning
349,44,f,kenyan,physical health safety,comprehensive health safety measure
350,59,m,tanzanian,debt,cash flow analysis
351,59,f,tanzanian,physical health safety,comprehensive health safety measure
352,26,f,tanzanian,budget allocation,budget optimization
353,54,f,kenyan,running cost,financial auditing
354,38,f,kenyan,quality assurance,continuous improvement assessment
355,32,m,kenyan,running cost,financial auditing
356,57,m,tanzanian,debt,cash flow analysis
357,55,f,kenyan,research experiment,research experiment standardization
358,53,f,tanzanian,debt,cash flow analysis
359,25,f,tanzanian,student accommodation,accommodation optimization
360,25,f,tanzanian,legal regulatory compliance,compliance management framework
361,54,f,tanzanian,learning environment,blended learning
362,55,f,tanzanian,budget allocation,budget optimization
363,44,m,kenyan,debt,cash flow analysis
364,44,f,tanzanian,research experiment,research experiment standardization
365,46,m,tanzanian,legal regulatory compliance,compliance management framework
366,34,m,tanzanian,governance structure,transparent governance framework
367,35,f,tanzanian,governance structure,transparent governance framework
368,37,m,kenyan,employee development training,professional development plan
369,37,f,tanzanian,mental health emotional wellbeing,mental health support service
370,27,m,kenyan,mission vision value,missiondriven policy alignment
371,47,f,tanzanian,mental health emotional wellbeing,mental health support service
372,38,f,tanzanian,student accommodation,accommodation optimization
373,42,m,kenyan,administrative function,workflow analysis
374,37,m,tanzanian,learning environment,blended learning
375,43,m,tanzanian,technology infrastructure,technology integration
376,57,m,tanzanian,legal regulatory compliance,compliance management framework
377,54,f,tanzanian,learning environment,blended learning
378,40,f,tanzanian,physical health safety,comprehensive health safety measure
379,56,f,kenyan,legal regulatory compliance,compliance management framework
380,27,m,kenyan,student enrollment,enrollment initiative
381,27,f,kenyan,mission vision value,missiondriven policy alignment
382,56,m,tanzanian,mental health emotional wellbeing,mental health support service
383,55,m,tanzanian,budget allocation,budget optimization
384,30,m,kenyan,organizational culture change management,inclusive organizational culture
385,25,f,kenyan,technology infrastructure,technology integration
386,45,m,kenyan,educational program curriculum,program curriculum review update
387,31,m,kenyan,employee development training,professional development plan
388,31,f,tanzanian,organizational culture change management,inclusive organizational culture
389,34,f,kenyan,budget allocation,budget optimization
390,41,f,tanzanian,administrative function,workflow analysis
391,55,m,tanzanian,access resource,digitization
392,49,f,tanzanian,governance structure,transparent governance framework
393,38,f,kenyan,facility safety,safety measure
394,49,m,kenyan,student accommodation,accommodation optimization
395,27,f,kenyan,administrative function,workflow analysis
396,35,m,tanzanian,governance structure,transparent governance framework
